,year,predicted_per_capita_income
0,2030,49573.34484664467
1,2032,51230.27499708999
2,2056,71113.4368024352
3,2080,90996.59860778018
4,2090,99281.24936000723
5,2100,107565.90011223452
6,2105,111708.22548834793
7,2108,114193.62071401603
8,2116,120821.34131579776
9,2125,128277.52699280228
10,2129,131591.3872936929
11,2138,139047.57297069742
12,2205,194554.73301061895
